,Year,Close SP500,Interest Rate,Unemployment Rate,Inflation Rate,CPIAUCSL,Close RUSSELL2000,Close Oil,Close Gold,OPEN_CLOSE_CHANGE_%_SP500,OPEN_CLOSE_CHANGE_%_RUSSELL2000,OPEN_CLOSE_CHANGE_%_Gold,LOW_HIGH_CHANGE_%_SP500,LOW_HIGH_CHANGE_%_RUSSELL2000,LOW_HIGH_CHANGE_%_Gold,Interest_Rate_Change,Inflation_Rate_Change,Unemployment_Rate_Change,CPI_Change,VOLUME_CHANGE_%_RUSSELL2000,VOLUME_CHANGE_%_SP500
20,2007,47.54188074582264,5.018359375,4.61640625,2.319921875,207.37144921875,804.2587902695312,72.5515234375,697.3558203125,-0.00019246753896547575,-0.0003265803098910477,0.0009581170485441743,0.024409642381213136,0.015180733080876226,0.01587751790371842,-0.00390625,-0.0007812500000000007,0.0023437499999999986,0.032597656249999996,0.019631746671039958,0.024512625944079554
21,2008,38.62910883249117,1.9244186046511629,5.805038759689922,2.3093023255813954,215.2910503875969,656.1526358023256,96.9877519379845,871.6494573643411,-0.0007000055293055607,-0.000854122190571554,0.00033314448746480816,0.048637767238132006,0.032006145946006904,0.029657552323736843,-0.015813953488372095,-0.0023255813953488367,0.008914728682170543,-0.00018217054263564746,0.02771994001616863,0.021392058374674793
22,2009,29.464068867093513,0.15972762645914396,9.290272373540855,1.690272373540856,214.58512062256807,521.0680937315176,61.58583657587548,973.7706225680934,0.0010241105273272944,0.0009133096304101389,0.0011266125122906584,0.036864958918762195,0.025453142099404295,0.02037882526879945,-0.00015564202334630354,0.0,0.01011673151750973,0.023147859922179038,0.01160080102594322,0.01398505817200526
