,Date,Open,High,Low,Close,Adj Close,Volume,Effective Federal Funds Rate,Inflation Rate
0,1962-01-01,0.0,3.5535120964050293,3.4489970207214355,3.4751250743865967,0.5709767937660217,254509.0,2.15,1.3
1,1962-02-01,0.0,3.573107957839966,3.435931921005249,3.5535120964050293,0.5838567018508911,319571.0,2.37,1.3
2,1962-03-01,0.0,3.520850896835327,3.4489970207214355,3.4751250743865967,0.5727059245109558,139693.0,2.85,1.6
3,1962-04-01,0.0,3.6514949798583984,3.625365972518921,3.644962072372437,0.6006947755813599,116730.0,2.78,1.3
4,1962-05-01,0.0,3.422868013381958,3.2922239303588867,3.403270959854126,0.5608639121055603,359757.0,2.36,1.6
5,1962-06-01,0.0,2.9460179805755615,2.7761809825897217,2.7761809825897217,0.4575187563896179,694637.0,2.68,1.6
6,1962-07-01,0.0,2.5279579162597656,2.4430389404296875,2.514893054962158,0.4144580066204071,195187.0,2.71,1.3
7,1962-08-01,0.0,2.639004945755005,2.58674693107605,2.5998120307922363,0.4284525215625763,177965.0,2.93,1.3
8,1962-09-01,0.0,2.8610990047454834,2.7761809825897217,2.7957780361175537,0.4624571800231933,193274.0,2.9,1.3
9,1962-10-01,0.0,2.554086923599243,2.4626359939575195,2.4626359939575195,0.4073514938354492,225805.0,2.9,1.3
10,1962-11-01,0.0,2.5475540161132812,2.449570894241333,2.5410220623016357,0.4203177988529205,451610.0,2.94,1.3
11,1962-12-01,0.0,2.8676319122314453,2.802309989929199,2.8284389972686768,0.4696578681468963,174138.0,2.93,1.3
12,1963-01-01,0.0,2.7957780361175537,2.743520021438598,2.7565839290618896,0.4577260911464691,132038.0,2.92,1.0
13,1963-02-01,0.0,3.1485159397125244,3.122386932373047,3.141983985900879,0.5217214226722717,78458.0,3.0,1.0
14,1963-03-01,0.0,3.057065010070801,2.939486026763916,2.9590818881988525,0.4931888282299042,168397.0,2.98,1.0
15,1963-04-01,0.0,3.1027910709381104,3.0635969638824463,3.089725971221924,0.5149627923965454,97594.0,2.9,1.3
16,1963-05-01,0.0,3.207305908203125,3.1942410469055176,3.200773000717163,0.5334709882736206,86112.0,3.0,1.0
17,1963-06-01,0.0,3.0962579250335693,3.057065010070801,3.076662063598633,0.5147240161895752,162656.0,2.99,1.3
18,1963-07-01,0.0,2.98521089553833,2.9329540729522705,2.939486026763916,0.4917744994163513,107162.0,3.02,1.3
19,1963-08-01,0.0,3.1027910709381104,3.0309360027313232,3.057065010070801,0.5114455223083496,120557.0,3.49,1.6
20,1963-09-01,0.0,3.305288076400757,3.27262806892395,3.27262806892395,0.54945969581604,195187.0,3.48,1.3
21,1963-10-01,0.0,3.2464990615844727,3.1942410469055176,3.2269020080566406,0.5417822599411011,155002.0,3.5,1.3
22,1963-11-01,0.0,3.5339150428771973,3.488189935684204,3.488189935684204,0.5856514573097229,135866.0,3.48,1.6
