,Date,Close SP500
0,1962-01-02,5.360603987549742
1,1962-01-03,5.347035354934633
2,1962-01-04,5.310443965097268
3,1962-01-05,5.218027563765645
4,1962-01-08,5.1927860692764325
5,1962-01-09,5.183254357737799
6,1962-01-10,5.1981106565023465
7,1962-01-11,5.209130557564397
8,1962-01-12,5.244417359121144
9,1962-01-15,5.2014133200670285
10,1962-01-16,5.181564642737309
11,1962-01-17,5.163947709525625
12,1962-01-18,5.173080218955874
13,1962-01-19,5.172535345579187
14,1962-01-22,5.164309332768122
15,1962-01-23,5.148961572286983
16,1962-01-24,5.135460569212834
17,1962-01-25,5.1281919761871295
18,1962-01-26,5.107026393525302
19,1962-01-29,5.082261949777603
20,1962-01-30,5.098928357164065
21,1962-01-31,5.125382446994384
22,1962-02-01,5.159698425792158
23,1962-02-02,5.17451441505303
24,1962-02-05,5.185251732977728
25,1962-02-06,5.202841181308031
26,1962-02-07,5.273106348390381
27,1962-02-08,5.314716076788803
28,1962-02-09,5.334930997962753
29,1962-02-12,5.348019813808302
30,1962-02-13,5.346525697348018
31,1962-02-14,5.327833687265714
32,1962-02-15,5.380811880653103
33,1962-02-16,5.354831711699565
34,1962-02-19,5.3492765706032515
35,1962-02-20,5.365482932577531
36,1962-02-21,5.32855552341789
37,1962-02-23,5.324688792849581
38,1962-02-26,5.300606043698887
39,1962-02-27,5.312260360767444
40,1962-02-28,5.308754048620661
41,1962-03-01,5.322227104256551
42,1962-03-02,5.339906841516495
43,1962-03-05,5.316817719489336
44,1962-03-06,5.28810815513134
45,1962-03-07,5.292007545630137
46,1962-03-08,5.377689559943974
47,1962-03-09,5.39269953686744
48,1962-03-12,5.36912568906943
49,1962-03-13,5.389461961885293
50,1962-03-14,5.41039765222619
51,1962-03-15,5.405907926149666
52,1962-03-16,5.42206315913548
53,1962-03-19,5.424607442691922
54,1962-03-20,5.413838335312903
55,1962-03-21,5.419677122185628
56,1962-03-22,5.409811765265961
57,1962-03-23,5.414145302648346
58,1962-03-26,5.381919781366984
59,1962-03-27,5.358898684382439
60,1962-03-28,5.36200872125725
61,1962-03-29,5.345065845176578
62,1962-03-30,5.348832726478577
63,1962-04-02,5.141840388178825
64,1962-04-03,5.0911769291758535
65,1962-04-04,5.076844613552094
66,1962-04-05,5.10073396384716
67,1962-04-06,5.107358171343804
68,1962-04-09,5.0570872563123705
69,1962-04-10,5.076554504632949
70,1962-04-11,5.064590729475022
71,1962-04-12,5.032310646474361
72,1962-04-13,5.027406177222728
73,1962-04-16,5.01124298632145
74,1962-04-17,5.033314128816127
75,1962-04-18,5.031229903697968
76,1962-04-19,5.078118045926094
77,1962-04-23,5.083446115255356
78,1962-04-24,5.083595334589481
79,1962-04-25,5.06479378849268
80,1962-04-26,5.034385965168476
81,1962-04-27,4.98432979285717
82,1962-04-30,4.870206324756145
83,1962-05-01,4.872376605272293
84,1962-05-02,4.86309616535902
85,1962-05-03,4.864568457603455
86,1962-05-04,4.869022092223167
87,1962-05-07,4.843789468705654
88,1962-05-08,4.8109114816784855
