Date,Open SP500,High SP500,Low SP500,Close SP500,Volume SP500,Interest Rate,Unemployment Rate,Inflation Rate,CPIAUCSL,Open RUSSELL2000,High RUSSELL2000,Low RUSSELL2000,Close RUSSELL2000,Volume RUSSELL2000,Close Oil,Close Gold,Open Gold,High Gold,Low Gold,Change % Gold,OPEN_CLOSE_CHANGE_ABB_SP500,OPEN_CLOSE_CHANGE_ABB_RUSSELL2000,OPEN_CLOSE_CHANGE_ABB_Gold,Interest_Rate_Change,Inflation_Rate_Change,Unemployment_Rate_Change,CPI_Change
1988-09-30,261.519989,274.869995,256.980011,271.910004,3059450000.0,8.19,5.4,4.4,119.5,145.740005,149.089996,144.289993,149.089996,3059450000.0,11.93,394.03,431.03,430.19,393.09,-0.5,10.38000599999998,3.34997800000005,-68.25999999999999,0.17999999999999972,0.0,-0.1999999999999993,0.5
1988-10-31,272.549988,283.950012,268.839996,278.970001,3590910000.0,8.3,5.4,4.5,119.9,148.0,149.190002,146.509995,147.25,3590900000.0,12.6,412.16,398.01,412.16,394.03,0.0,6.570005999999921,-0.5900279999999896,-47.42999999999989,0.11000000000000121,0.09999999999999964,0.0,0.4000000000000057
1988-11-30,278.970001,280.369995,262.850006,273.700012,2822820000.0,8.35,5.3,4.4,120.3,147.259995,147.279999,139.490005,142.009995,2822820000.0,14.35,423.6,412.05,424.1,411.05,0.54,-5.7999869999999305,-5.299986999999987,-44.979999999999905,0.049999999999998934,-0.09999999999999964,-0.10000000000000053,0.3999999999999915
1988-12-31,273.679993,280.450012,270.470001,277.720001,2844900000.0,8.76,5.3,4.7,120.7,142.020004,147.369995,141.929993,147.369995,2844900000.0,16.23,409.39,425.81,430.34,407.4,0.49,0.9399720000000116,5.339954000000063,-48.81000000000017,0.41000000000000014,0.2999999999999998,0.0,0.4000000000000057
1989-01-31,279.390015,297.51001,273.809998,297.470001,3659430000.0,9.12,5.4,4.6,121.2,145.699997,153.850006,145.619995,153.850006,3659430000.0,16.38,390.31,412.27,410.28,390.31,-0.98,16.869995000000017,8.159986000000004,-60.17000000000007,0.35999999999999943,-0.10000000000000053,0.10000000000000053,0.5
1989-02-28,297.470001,300.570007,286.26001,288.859985,3216280000.0,9.36,5.2,4.8,121.6,153.839996,157.270004,153.619995,154.559998,3216280000.0,17.23,386.9,394.25,393.6,379.9,0.26,-8.600006000000064,0.7100379999999973,-46.870000000000175,0.2400000000000002,0.20000000000000018,-0.20000000000000018,0.3999999999999915
1989-03-31,288.859985,299.98999,286.459991,294.869995,3504530000.0,9.85,5.0,4.7,122.2,154.559998,159.279999,154.559998,157.899994,3504530000.0,20.45,384.66,386.72,395.01,380.25,1.16,6.000001000000054,3.3999959999999874,-56.349999999999966,0.4900000000000002,-0.09999999999999964,-0.20000000000000018,0.6000000000000085
1989-04-30,292.519989,310.450012,292.519989,309.640015,3408210000.0,9.84,5.2,4.6,123.1,156.75,164.690002,156.75,164.679993,3408210000.0,20.15,377.72,384.78,389.31,377.72,-1.11,17.100036999999986,7.959992,-38.06,-0.009999999999999787,-0.10000000000000053,0.20000000000000018,0.8999999999999915
1989-05-31,309.640015,323.059998,304.059998,320.519989,3747320000.0,9.81,5.2,4.6,123.7,164.679993,171.529999,163.929993,171.529999,3747320000.0,18.25,361.23,378.37,379.31,361.23,-0.53,10.869964000000039,6.780011999999942,-48.57999999999987,-0.02999999999999936,0.0,0.0,0.6000000000000085
1989-06-30,320.51001,329.190002,314.380005,317.980011,3966590000.0,9.53,5.3,4.5,124.1,171.529999,173.5,166.110001,167.419998,3966590000.0,18.28,373.44,362.46,377.17,356.98,0.94,-2.400022999999976,-3.4700050000000715,-62.939999999999884,-0.28000000000000114,-0.09999999999999964,0.09999999999999964,0.3999999999999915
1989-07-31,319.670013,346.079987,314.380005,346.079987,3419520000.0,9.24,5.2,4.6,124.5,168.080002,174.5,166.110001,174.5,3419520000.0,16.3,370.07,375.07,384.47,366.3,1.03,26.510011000000077,5.7399739999999895,-59.030000000000086,-0.28999999999999915,0.09999999999999964,-0.09999999999999964,0.4000000000000057
